Country,FOG,RAIN,SNOW,HAIL,THUNDER,TORNADO,Streams
us,0,1,0,0,1,0,66948503
us,1,0,0,0,0,0,1445475074
us,0,0,0,0,0,0,9713269860
us,1,1,0,0,0,0,202105789
uy,1,1,0,0,1,0,2000479
uy,1,1,0,0,0,0,2550319
uy,0,1,0,0,1,0,11081907
uy,0,1,0,0,0,0,22180396
uy,1,0,0,0,0,0,8026168
uy,0,0,0,0,0,0,63801590
uy,0,0,0,0,1,0,1519954
