Position,Track Name,Artist,Date,Country
5,El Amante                                                                   ,Nicky Jam        ,29/01/2017,uy
6,Piel a Piel                                                                 ,Dame 5           ,29/01/2017,uy
7,Safari                                                                      ,J Balvin         ,29/01/2017,uy
8,Amor para un Rato                                                           ,Olvidate!        ,29/01/2017,uy
9,Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,29/01/2017,uy
10,Carnavalintro                                                               ,CHANO            ,29/01/2017,uy
1,Despacito (Featuring Daddy Yankee)                                          ,Luis Fonsi       ,30/01/2017,uy
2,Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,30/01/2017,uy
3,Cuando Se Pone a Bailar                                                     ,Rombai           ,30/01/2017,uy
4,Chantaje                                                                    ,Shakira          ,30/01/2017,uy
5,El Amante                                                                   ,Nicky Jam        ,30/01/2017,uy
6,Shape of You                                                                ,Ed Sheeran       ,30/01/2017,uy
7,Safari                                                                      ,J Balvin         ,30/01/2017,uy
8,Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,30/01/2017,uy
9,Piel a Piel                                                                 ,Dame 5           ,30/01/2017,uy
10,Carnavalintro                                                               ,CHANO            ,30/01/2017,uy
1,Despacito (Featuring Daddy Yankee)                                          ,Luis Fonsi       ,31/01/2017,uy
2,Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,31/01/2017,uy
3,Cuando Se Pone a Bailar                                                     ,Rombai           ,31/01/2017,uy
4,Chantaje                                                                    ,Shakira          ,31/01/2017,uy
5,El Amante                                                                   ,Nicky Jam        ,31/01/2017,uy
6,Shape of You                                                                ,Ed Sheeran       ,31/01/2017,uy
7,Safari                                                                      ,J Balvin         ,31/01/2017,uy
8,Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,31/01/2017,uy
9,Carnavalintro                                                               ,CHANO            ,31/01/2017,uy
10,Amor para un Rato                                                           ,Olvidate!        ,31/01/2017,uy
1,Despacito (Featuring Daddy Yankee)                                          ,Luis Fonsi       ,01/02/2017,uy
2,Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,01/02/2017,uy
3,Chantaje                                                                    ,Shakira          ,01/02/2017,uy
4,Cuando Se Pone a Bailar                                                     ,Rombai           ,01/02/2017,uy
5,El Amante                                                                   ,Nicky Jam        ,01/02/2017,uy
6,Shape of You                                                                ,Ed Sheeran       ,01/02/2017,uy
7,Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,01/02/2017,uy
8,Safari                                                                      ,J Balvin         ,01/02/2017,uy
9,Carnavalintro                                                               ,CHANO            ,01/02/2017,uy
10,Amor para un Rato                                                           ,Olvidate!        ,01/02/2017,uy
1,Despacito (Featuring Daddy Yankee)                                          ,Luis Fonsi       ,02/02/2017,uy
