Position,Track Name,Artist,Date,Country
3,Closer                                                                      ,The Chainsmokers ,24/01/2017,tw
4,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,24/01/2017,tw
5,演員                                                                      ,Joker Xue        ,24/01/2017,tw
6,Castle on the Hill                                                          ,Ed Sheeran       ,24/01/2017,tw
7,Say You Won't Let Go                                                        ,James Arthur     ,24/01/2017,tw
8,Stay With Me                                                                ,Chanyeol         ,24/01/2017,tw
9,帥到分手                                                                ,NICKTHEREAL      ,24/01/2017,tw
10,Starboy                                                                     ,The Weeknd       ,24/01/2017,tw
1,Shape of You                                                                ,Ed Sheeran       ,25/01/2017,tw
2,Paris                                                                       ,The Chainsmokers ,25/01/2017,tw
3,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,25/01/2017,tw
4,Closer                                                                      ,The Chainsmokers ,25/01/2017,tw
5,Say You Won't Let Go                                                        ,James Arthur     ,25/01/2017,tw
6,Castle on the Hill                                                          ,Ed Sheeran       ,25/01/2017,tw
7,Starboy                                                                     ,The Weeknd       ,25/01/2017,tw
8,Bad Things (with Camila Cabello)                                            ,Machine Gun Kelly,25/01/2017,tw
9,演員                                                                      ,Joker Xue        ,25/01/2017,tw
10,Stay With Me                                                                ,Chanyeol         ,25/01/2017,tw
1,Shape of You                                                                ,Ed Sheeran       ,26/01/2017,tw
2,Paris                                                                       ,The Chainsmokers ,26/01/2017,tw
3,Closer                                                                      ,The Chainsmokers ,26/01/2017,tw
4,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,26/01/2017,tw
5,Castle on the Hill                                                          ,Ed Sheeran       ,26/01/2017,tw
6,Say You Won't Let Go                                                        ,James Arthur     ,26/01/2017,tw
7,Starboy                                                                     ,The Weeknd       ,26/01/2017,tw
8,�?為誰而作的歌                                                       ,JJ Lin           ,26/01/2017,tw
9,Don't Wanna Know                                                            ,Maroon 5         ,26/01/2017,tw
10,Bad Things (with Camila Cabello)                                            ,Machine Gun Kelly,26/01/2017,tw
1,Shape of You                                                                ,Ed Sheeran       ,27/01/2017,tw
2,Paris                                                                       ,The Chainsmokers ,27/01/2017,tw
3,Closer                                                                      ,The Chainsmokers ,27/01/2017,tw
4,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,27/01/2017,tw
5,Castle on the Hill                                                          ,Ed Sheeran       ,27/01/2017,tw
6,Say You Won't Let Go                                                        ,James Arthur     ,27/01/2017,tw
7,Don't Wanna Know                                                            ,Maroon 5         ,27/01/2017,tw
8,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,27/01/2017,tw
9,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,27/01/2017,tw
10,Bad Things (with Camila Cabello)                                            ,Machine Gun Kelly,27/01/2017,tw
1,Shape of You                                                                ,Ed Sheeran       ,28/01/2017,tw
2,Paris                                                                       ,The Chainsmokers ,28/01/2017,tw
3,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,28/01/2017,tw
4,Closer                                                                      ,The Chainsmokers ,28/01/2017,tw
5,Castle on the Hill                                                          ,Ed Sheeran       ,28/01/2017,tw
6,Say You Won't Let Go                                                        ,James Arthur     ,28/01/2017,tw
7,�?為誰而作的歌                                                       ,JJ Lin           ,28/01/2017,tw
8,Don't Wanna Know                                                            ,Maroon 5         ,28/01/2017,tw
9,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,28/01/2017,tw
10,Starboy                                                                     ,The Weeknd       ,28/01/2017,tw
1,Shape of You                                                                ,Ed Sheeran       ,29/01/2017,tw
2,Paris                                                                       ,The Chainsmokers ,29/01/2017,tw
3,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,29/01/2017,tw
4,Closer                                                                      ,The Chainsmokers ,29/01/2017,tw
5,Castle on the Hill                                                          ,Ed Sheeran       ,29/01/2017,tw
6,Say You Won't Let Go                                                        ,James Arthur     ,29/01/2017,tw
7,�?為誰而作的歌                                                       ,JJ Lin           ,29/01/2017,tw
8,你,好�?好? - Ending Theme Song of TVBS Series "Life List"               ,Eric Chou        ,29/01/2017,tw
9,Don't Wanna Know                                                            ,Maroon 5         ,29/01/2017,tw
10,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,29/01/2017,tw
1,Shape of You                                                                ,Ed Sheeran       ,30/01/2017,tw
2,Paris                                                                       ,The Chainsmokers ,30/01/2017,tw
3,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,30/01/2017,tw
4,Closer                                                                      ,The Chainsmokers ,30/01/2017,tw
5,Castle on the Hill                                                          ,Ed Sheeran       ,30/01/2017,tw
6,Say You Won't Let Go                                                        ,James Arthur     ,30/01/2017,tw
7,Don't Wanna Know                                                            ,Maroon 5         ,30/01/2017,tw
8,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,30/01/2017,tw
9,Bad Things (with Camila Cabello)                                            ,Machine Gun Kelly,30/01/2017,tw
10,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,30/01/2017,tw
1,Shape of You                                                                ,Ed Sheeran       ,31/01/2017,tw
2,Paris                                                                       ,The Chainsmokers ,31/01/2017,tw
3,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,31/01/2017,tw
4,Closer                                                                      ,The Chainsmokers ,31/01/2017,tw
5,Castle on the Hill                                                          ,Ed Sheeran       ,31/01/2017,tw
6,帥到分手                                                                ,NICKTHEREAL      ,31/01/2017,tw
7,演員                                                                      ,Joker Xue        ,31/01/2017,tw
8,Say You Won't Let Go                                                        ,James Arthur     ,31/01/2017,tw
9,�?為誰而作的歌                                                       ,JJ Lin           ,31/01/2017,tw
10,你,好�?好? - Ending Theme Song of TVBS Series "Life List"               ,Eric Chou        ,31/01/2017,tw
1,Shape of You                                                                ,Ed Sheeran       ,01/02/2017,tw
2,Paris                                                                       ,The Chainsmokers ,01/02/2017,tw
3,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,01/02/2017,tw
4,Closer                                                                      ,The Chainsmokers ,01/02/2017,tw
5,Say You Won't Let Go                                                        ,James Arthur     ,01/02/2017,tw
6,Castle on the Hill                                                          ,Ed Sheeran       ,01/02/2017,tw
7,Stay With Me                                                                ,Chanyeol         ,01/02/2017,tw
8,Bad Things (with Camila Cabello)                                            ,Machine Gun Kelly,01/02/2017,tw
9,演員                                                                      ,Joker Xue        ,01/02/2017,tw
10,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,01/02/2017,tw
1,Shape of You                                                                ,Ed Sheeran       ,02/02/2017,tw
2,Paris                                                                       ,The Chainsmokers ,02/02/2017,tw
3,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,02/02/2017,tw
4,Closer                                                                      ,The Chainsmokers ,02/02/2017,tw
5,Scared to Be Lonely                                                         ,Martin Garrix    ,02/02/2017,tw
6,Say You Won't Let Go                                                        ,James Arthur     ,02/02/2017,tw
7,Castle on the Hill                                                          ,Ed Sheeran       ,02/02/2017,tw
8,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,02/02/2017,tw
9,Stay With Me                                                                ,Chanyeol         ,02/02/2017,tw
10,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,02/02/2017,tw
1,Shape of You                                                                ,Ed Sheeran       ,03/02/2017,tw
2,Paris                                                                       ,The Chainsmokers ,03/02/2017,tw
3,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,03/02/2017,tw
4,Scared to Be Lonely                                                         ,Martin Garrix    ,03/02/2017,tw
