Date,TEMP, VISIB,  WDSP,PRCP  , FRSHTT,Country
20170102,-2,999.9,6.3, 0.00F,10000,at
20170103,2,999.9,12.5, 0.00F,0,at
20170104,4,999.9,17.2, 0.00F,10000,at
20170105,-1,999.9,12, 0.00F,0,at
20170106,-5,999.9,12.1, 0.00F,0,at
20170107,-7,999.9,8.3, 0.00F,1000,at
20170108,-5,999.9,5.7, 0.04F,11000,at
20170109,-3,999.9,6.4, 0.00F,11000,at
20170110,-6,999.9,7.4, 0.00F,0,at
20170111,-6,999.9,3.6, 0.00F,1000,at
20170112,4,999.9,8.3, 0.08F,11000,at
20170113,4,999.9,9.9, 0.02F,10000,at
20170114,2,999.9,10, 0.04F,10000,at
20170115,1,999.9,8.7, 0.03F,0,at
20170116,0,999.9,4.6, 0.00F,0,at
20170117,-1,999.9,7.7, 0.00F,0,at
20170118,-3,999.9,6.6, 0.00F,0,at
20170119,-5,999.9,2.8, 0.00F,0,at
20170120,-5,999.9,3.2, 0.00F,0,at
20170121,-5,999.9,2.8, 0.00F,0,at
20170122,-3,999.9,5.8, 0.00F,0,at
20170123,-4,999.9,6.6, 0.00F,0,at
20170124,-5,999.9,6.5, 0.00F,0,at
20170125,-1,999.9,5.2, 0.00F,0,at
20170126,0,999.9,7.3, 0.00F,0,at
20170127,-3,999.9,8.2, 0.00F,0,at
20170128,-5,999.9,7.3, 0.00F,11000,at
20170129,-5,999.9,4.3, 0.00F,0,at
20170130,-6,999.9,8.1, 0.00F,0,at
20170131,-5,999.9,6.9, 0.09F,1000,at
20170201,-1,999.9,2.9, 0.35F,11000,at
20170202,0,999.9,3.3, 0.00F,0,at
20170203,1,999.9,2.5, 0.00F,0,at
20170204,4,999.9,4.1, 0.00F,0,at
20170205,7,999.9,5.9, 0.00F,0,at
20170206,4,999.9,5.1, 0.51F,10000,at
20170207,2,999.9,7.4, 0.00F,0,at
20170208,-1,999.9,6.5, 0.00F,0,at
20170209,-1,999.9,4.1, 0.00F,0,at
20170210,1,999.9,10, 0.00F,0,at
20170211,1,999.9,9.8, 0.00F,0,at
20170212,2,999.9,8.7, 0.00F,0,at
20170213,2,999.9,5.4, 0.00F,0,at
20170214,2,999.9,4.5, 0.00F,0,at
20170215,4,999.9,2.9, 0.00F,0,at
20170216,1,999.9,3.1, 0.00F,0,at
20170217,2,999.9,6.2, 0.00F,11000,at
20170218,6,999.9,6.7, 0.16F,10000,at
20170219,5,999.9,2.8, 0.00F,0,at
20170220,7,999.9,6.8, 0.00F,10000,at
20170221,10,999.9,10.3, 0.28F,10000,at
20170222,12,999.9,7.8, 0.13F,10000,at
20170223,14,999.9,6.6, 0.00F,0,at
20170224,10,999.9,11.3, 0.04F,10000,at
20170225,6,999.9,6.1, 0.00F,0,at
20170226,7,999.9,3, 0.00F,0,at
20170227,8,999.9,5, 0.00F,0,at
20170228,9,999.9,6.6, 0.00F,10000,at
20170301,8,999.9,10.1, 0.02F,0,at
20170302,9,999.9,7, 0.01F,10000,at
20170303,10,999.9,7.7, 0.00F,0,at
20170304,13,999.9,9.2, 0.00F,0,at
20170305,12,999.9,5.3, 0.00F,10000,at
20170306,9,999.9,7.9, 0.00F,0,at
20170307,8,999.9,7.1, 0.01F,10000,at
20170308,8,999.9,6.1, 0.00F,0,at
20170309,10,999.9,5.7, 0.12F,10000,at
20170310,8,999.9,11.7, 0.08F,10000,at
20170311,8,999.9,7.7, 0.00F,0,at
20170312,6,999.9,5.6, 0.00F,0,at
20170313,7,999.9,4.8, 0.00F,0,at
20170314,9,999.9,6.8, 0.00F,0,at
20170315,11,999.9,7, 0.00F,0,at
20170316,12,999.9,7, 0.00F,0,at
20170317,13,999.9,5.3, 0.00F,10000,at
20170318,10,999.9,13.5, 0.51F,10000,at
20170319,9,999.9,5.5, 0.59F,10000,at
20170320,14,999.9,6.3, 0.00F,0,at
20170321,14,999.9,5.3, 0.00F,0,at
20170322,10,999.9,6, 0.00F,0,at
20170323,8,999.9,2.9, 0.00F,0,at
20170324,10,999.9,6.8, 0.00F,0,at
20170325,10,999.9,4.9, 0.00F,0,at
20170326,9,999.9,6.2, 0.00F,0,at
20170327,9,999.9,3.2, 0.00F,0,at
20170328,13,999.9,3.2, 0.00F,0,at
20170329,18,999.9,8.3, 0.00F,0,at
20170330,17,999.9,4.5, 0.00F,0,at
20170331,16,999.9,8.3, 0.00F,0,at
20170401,18,999.9,10.8, 0.00F,0,at
20170402,19,999.9,4, 0.00E,0,at
20170403,16,999.9,5.4, 0.00F,0,at
20170404,13,999.9,8.6, 0.00E,10000,at
20170405,12,999.9,10.1, 0.07F,10000,at
20170406,10,999.9,11.1, 0.08F,10000,at
20170407,8,999.9,10.4, 0.55F,10000,at
20170408,13,999.9,8.7, 0.00F,0,at
20170409,14,999.9,3.7, 0.00F,0,at
20170410,16,999.9,3.6, 0.00F,0,at
20170411,12,999.9,8.7, 0.00F,0,at
20170412,13,999.9,4.9, 0.00F,0,at
20170413,12,999.9,5.7, 0.35F,10000,at
20170414,13,999.9,4.4, 0.00F,0,at
20170415,13,999.9,6.5, 0.00F,10000,at
20170416,10,999.9,8, 0.01F,10000,at
20170417,9,999.9,7.2, 0.12F,10000,at
20170418,6,999.9,9.4, 0.51F,10000,at
20170419,3,999.9,14.4, 0.59F,10000,at
20170420,4,999.9,11, 0.02F,0,at
20170421,8,999.9,9.1, 0.00F,0,at
20170422,10,999.9,10.2, 0.04F,10000,at
20170423,9,999.9,8.5, 0.01F,0,at
20170424,11,999.9,5.3, 0.00F,0,at
20170425,15,999.9,4.9, 0.00F,0,at
20170426,12,999.9,5.3, 0.00F,0,at
20170427,8,999.9,6.2, 0.03F,10000,at
20170428,6,999.9,7.7, 0.16F,10000,at
20170429,10,999.9,7, 0.00F,0,at
20170430,12,999.9,6.7, 0.00F,0,at
20170501,14,999.9,11.3, 0.00F,0,at
20170502,13,999.9,6.2, 0.16F,10000,at
20170503,13,999.9,3.3, 0.16F,10000,at
20170504,13,999.9,3.7, 0.12F,10000,at
20170505,14,999.9,7.4, 0.01F,10000,at
20170506,17,999.9,5.7, 0.00F,0,at
20170507,16,999.9,8.2, 0.16F,10000,at
20170508,15,999.9,9.7, 0.01F,10000,at
20170509,8,999.9,7.4, 0.09F,10000,at
20170510,10,999.9,4.9, 0.00F,0,at
20170511,16,999.9,4.7, 0.00F,0,at
20170512,19,999.9,4.5, 0.00F,0,at
20170513,18,999.9,8.1, 0.00H,10000,at
20170514,20,999.9,5,99.99,10000,at
20170515,18,999.9,8,99.99,10000,at
20170516,19,999.9,4.4, 0.00E,0,at
20170517,20,999.9,4, 0.00F,0,at
20170518,22,999.9,10.3, 0.00F,0,at
20170519,22,999.9,11.9, 0.00F,0,at
20170520,15,999.9,14.3, 0.00F,10000,at
20170521,16,999.9,12.2, 0.94F,10000,at
20170522,19,999.9,3.8, 0.00F,0,at
20170523,21,999.9,4.2, 0.00F,0,at
20170524,18,999.9,7.7, 0.05F,10000,at
20170525,16,999.9,7.5, 0.00F,0,at
20170526,19,999.9,6, 0.00F,0,at
20170527,21,999.9,5, 0.00F,0,at
20170528,21,999.9,6.8, 0.00F,0,at
20170529,23,999.9,3.7, 0.00F,0,at
20170530,26,999.9,5.8, 0.00F,10000,at
20170531,24,999.9,6.2, 0.01F,10000,at
20170601,23,999.9,4.5, 0.00F,0,at
20170602,24,999.9,3.7, 0.00F,10000,at
20170603,24,999.9,4.1, 0.16F,10000,at
20170604,21,999.9,7.2, 0.16F,10000,at
20170605,21,999.9,5.3, 0.00F,0,at
20170606,22,999.9,10.2, 0.00F,10000,at
20170607,17,999.9,8.3, 0.01F,0,at
20170608,19,999.9,5.6, 0.00F,0,at
20170609,22,999.9,7.1, 0.00F,0,at
20170610,21,999.9,7.9, 0.24F,10000,at
20170611,22,999.9,3.1, 0.00F,0,at
20170612,25,999.9,6.9, 0.00F,0,at
20170613,24,999.9,7.4, 0.00F,0,at
20170614,22,999.9,5.8, 0.00F,0,at
20170615,24,999.9,4.1, 0.00F,0,at
20170616,22,999.9,7.9, 0.47F,10000,at
20170617,17,999.9,10.1, 0.08F,10000,at
20170618,21,999.9,7.4, 0.02F,0,at
20170619,23,999.9,3.1, 0.00F,0,at
20170620,27,999.9,4.3, 0.00F,0,at
20170621,27,999.9,4.8, 0.00F,0,at
20170622,28,999.9,4.3, 0.00F,0,at
20170623,27,999.9,5.5, 0.28F,10000,at
20170624,27,999.9,7.4, 0.00F,0,at
20170625,24,999.9,6.6, 0.35F,10000,at
20170626,26,999.9,6.9, 0.00F,0,at
20170627,26,999.9,6.2, 0.00F,0,at
20170628,27,999.9,10.8, 0.00F,0,at
20170629,22,999.9,9.1, 0.02F,10000,at
20170630,23,999.9,7.8, 0.00E,0,at
20170701,21,999.9,8.3, 0.08F,10000,at
20170702,20,999.9,10, 0.00F,10000,at
20170703,21,999.9,8.2, 0.02F,10000,at
20170704,22,999.9,6.6, 0.00F,0,at
20170705,27,999.9,5, 0.00E,0,at
20170706,24,999.9,4.5, 0.01F,10000,at
20170707,26,999.9,5.5, 0.00F,10000,at
20170708,27,999.9,8, 0.16F,10000,at
20170709,25,999.9,4.6, 0.12F,10000,at
20170710,23,999.9,4.9, 0.12E,10000,at
20170711,24,999.9,9.6, 0.16F,10000,at
20170712,25,999.9,4.9, 0.00F,10000,at
20170713,21,999.9,9.8, 0.00F,0,at
20170714,20,999.9,5.2, 0.00F,10000,at
20170715,17,999.9,9, 0.13F,10000,at
